ticker,name,sector
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Financials
CHD,Church & Dwight,Consumer Staples
CIEN,Ciena,Information Technology
CI,Cigna,Health Care
CINF,Cincinnati Financial,Financials
CTAS,Cintas,Industrials
CSCO,Cisco,Information Technology
C,Citigroup,Financials
CFG,Citizens Financial Group,Financials
CLX,Clorox,Consumer Staples
CME,CME Group,Financials
CMS,CMS Energy,Utilities
KO,Coca-Cola Company (The),Consumer Staples
CTSH,Cognizant,Information Technology
COHR,Coherent Corp.,Information Technology
COIN,Coinbase,Financials
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast,Communication Services
FIX,Comfort Systems USA,Industrials
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
CEG,Constellation Energy,Utilities
COO,Cooper Companies (The),Health Care
CPRT,Copart,Industrials
GLW,Corning Inc.,Information Technology
CPAY,Corpay,Financials
CTVA,Corteva,Materials
CSGP,CoStar Group,Real Estate
COST,Costco,Consumer Staples
CRH,CRH plc,Materials
CRWD,CrowdStrike,Information Technology
CCI,Crown Castle,Real Estate
CSX,CSX Corporation,Industrials
CMI,Cummins,Industrials
CVS,CVS Health,Health Care
DHR,Danaher Corporation,Health Care
DRI,Darden Restaurants,Consumer Discretionary
DDOG,Datadog,Information Technology
DVA,DaVita,Health Care
DECK,Deckers Brands,Consumer Discretionary
DE,Deere & Company,Industrials
DELL,Dell Technologies,Information Technology
DAL,Delta Air Lines,Industrials
DVN,Devon Energy,Energy
DXCM,Dexcom,Health Care
FANG,Diamondback Energy,Energy
DLR,Digital Realty,Real Estate
DG,Dollar General,Consumer Staples
DLTR,Dollar Tree,Consumer Staples
D,Dominion Energy,Utilities
DPZ,Domino's,Consumer Discretionary
DASH,DoorDash,Consumer Discretionary
DOV,Dover Corporation,Industrials
DOW,Dow Inc.,Materials
DHI,D. R. Horton,Consumer Discretionary
DTE,DTE Energy,Utilities
DUK,Duke Energy,Utilities
DD,DuPont,Materials
ETN,Eaton Corporation,Industrials
EBAY,eBay Inc.,Consumer Discretionary
ECHO,EchoStar,Communication Services
ECL,Ecolab,Materials
EIX,Edison International,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Communication Services
ELV,Elevance Health,Health Care
EME,Emcor,Industrials
EMR,Emerson Electric,Industrials
ETR,Entergy,Utilities
EOG,EOG Resources,Energy
EQT,EQT Corporation,Energy
EFX,Equifax,Industrials
EQIX,Equinix,Real Estate
EQR,Equity Residential,Real Estate
ERIE,Erie Indemnity,Financials
ESS,Essex Property Trust,Real Estate
EL,Estée Lauder Companies (The),Consumer Staples
EG,Everest Group,Financials
EVRG,Evergy,Utilities
ES,Eversource Energy,Utilities
EXC,Exelon,Utilities
EXE,Expand Energy,Energy
EXPE,Expedia Group,Consumer Discretionary
EXPD,Expeditors International,Industrials
EXR,Extra Space Storage,Real Estate
XOM,ExxonMobil,Energy
FFIV,"F5, Inc.",Information Technology
FDS,FactSet,Financials
FICO,Fair Isaac,Information Technology
FAST,Fastenal,Industrials
FRT,Federal Realty Investment Trust,Real Estate
FDX,FedEx,Industrials
FDXF,FedEx Freight,Industrials
FIS,Fidelity National Information Services,Financials
FITB,Fifth Third Bancorp,Financials
FSLR,First Solar,Information Technology
FE,FirstEnergy,Utilities
FISV,Fiserv,Financials
FLEX,Flex Ltd.,Information Technology
F,Ford Motor Company,Consumer Discretionary
FTNT,Fortinet,Information Technology
FTV,Fortive,Industrials
FOXA,Fox Corporation (Class A),Communication Services
FOX,Fox Corporation (Class B),Communication Services
BEN,Franklin Resources,Financials
FCX,Freeport-McMoRan,Materials
GRMN,Garmin,Consumer Discretionary
IT,Gartner,Information Technology
GE,GE Aerospace,Industrials
GEHC,GE HealthCare,Health Care
GEV,GE Vernova,Industrials
GEN,Gen Digital,Information Technology
GNRC,Generac,Industrials
GD,General Dynamics,Industrials
GIS,General Mills,Consumer Staples
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts Company,Consumer Discretionary
GILD,Gilead Sciences,Health Care
GPN,Global Payments,Financials
GL,Globe Life,Financials
GDDY,GoDaddy,Information Technology
GS,Goldman Sachs,Financials
HAL,Halliburton,Energy
HIG,Hartford (The),Financials
HAS,Hasbro,Consumer Discretionary
HCA,HCA Healthcare,Health Care
DOC,Healthpeak Properties,Real Estate
HSIC,Henry Schein,Health Care
HSY,Hershey Company (The),Consumer Staples
HPE,Hewlett Packard Enterprise,Information Technology
HLT,Hilton Worldwide,Consumer Discretionary
HD,Home Depot (The),Consumer Discretionary
HONA,Honeywell Aerospace,Industrials
HON,Honeywell Technologies,Industrials
HRL,Hormel Foods,Consumer Staples
HST,Host Hotels & Resorts,Real Estate
HWM,Howmet Aerospace,Industrials
HPQ,HP Inc.,Information Technology
HUBB,Hubbell Incorporated,Industrials
HUM,Humana,Health Care
HBAN,Huntington Bancshares,Financials
HII,Huntington Ingalls Industries,Industrials
IBM,IBM,Information Technology
IEX,IDEX Corporation,Industrials
IDXX,Idexx Laboratories,Health Care
ITW,Illinois Tool Works,Industrials
INCY,Incyte,Health Care
IR,Ingersoll Rand,Industrials
PODD,Insulet Corporation,Health Care
INTC,Intel,Information Technology
IBKR,Interactive Brokers,Financials
ICE,Intercontinental Exchange,Financials
IFF,International Flavors & Fragrances,Materials
IP,International Paper,Materials
INTU,Intuit,Information Technology
ISRG,Intuitive Surgical,Health Care
IVZ,Invesco,Financials
INVH,Invitation Homes,Real Estate
IQV,IQVIA,Health Care
IRM,Iron Mountain,Real Estate
JBHT,J.B. Hunt,Industrials
JBL,Jabil,Information Technology
JKHY,Jack Henry & Associates,Financials
J,Jacobs Solutions,Industrials
JNJ,Johnson & Johnson,Health Care
JCI,Johnson Controls,Industrials
JPM,JPMorgan Chase,Financials
KVUE,Kenvue,Consumer Staples
KDP,Keurig Dr Pepper,Consumer Staples
KEY,KeyCorp,Financials
KEYS,Keysight Technologies,Information Technology
KMB,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Real Estate
KMI,Kinder Morgan,Energy
KKR,KKR & Co.,Financials
KLAC,KLA Corporation,Information Technology
KHC,Kraft Heinz,Consumer Staples
KR,Kroger,Consumer Staples
LHX,L3Harris,Industrials
LH,Labcorp,Health Care
LRCX,Lam Research,Information Technology
LVS,Las Vegas Sands,Consumer Discretionary
LDOS,Leidos,Industrials
LEN,Lennar,Consumer Discretionary
LII,Lennox International,Industrials
LLY,Lilly (Eli),Health Care
LIN,Linde plc,Materials
LYV,Live Nation Entertainment,Communication Services
LMT,Lockheed Martin,Industrials
L,Loews Corporation,Financials
LOW,Lowe's,Consumer Discretionary
LULU,Lululemon Athletica,Consumer Discretionary
LITE,Lumentum,Information Technology
LYB,LyondellBasell,Materials
MTB,M&T Bank,Financials
MPC,Marathon Petroleum,Energy
MAR,Marriott International,Consumer Discretionary
MRSH,Marsh McLennan,Financials
MLM,Martin Marietta Materials,Materials
MRVL,Marvell Technology,Information Technology
MAS,Masco,Industrials
MA,Mastercard,Financials
MKC,McCormick & Company,Consumer Staples
MCD,McDonald's,Consumer Discretionary
MCK,McKesson Corporation,Health Care
MDT,Medtronic,Health Care
MRK,Merck & Co.,Health Care
META,Meta Platforms,Communication Services
MET,MetLife,Financials
MTD,Mettler Toledo,Health Care
MGM,MGM Resorts,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft,Information Technology
MAA,Mid-America Apartment Communities,Real Estate
MRNA,Moderna,Health Care
TAP,Molson Coors Beverage Company,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
MPWR,Monolithic Power Systems,Information Technology
MNST,Monster Beverage,Consumer Staples
MCO,Moody's Corporation,Financials
MS,Morgan Stanley,Financials
MOS,Mosaic Company (The),Materials
MSI,Motorola Solutions,Information Technology
MSCI,MSCI Inc.,Financials
NDAQ,"Nasdaq, Inc.",Financials
NTAP,NetApp,Information Technology
NFLX,Netflix,Communication Services
NEM,Newmont,Materials
NWSA,News Corp (Class A),Communication Services
NWS,News Corp (Class B),Communication Services
NEE,NextEra Energy,Utilities
NKE,"Nike, Inc.",Consumer Discretionary
NI,NiSource,Utilities
NDSN,Nordson Corporation,Industrials
NSC,Norfolk Southern,Industrials
NTRS,Northern Trust,Financials
NOC,Northrop Grumman,Industrials
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary
NRG,NRG Energy,Utilities
NUE,Nucor,Materials
NVDA,Nvidia,Information Technology
NVR,"NVR, Inc.",Consumer Discretionary
NXPI,NXP Semiconductors,Information Technology
ORLY,O’Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Energy
ODFL,Old Dominion,Industrials
OMC,Omnicom Group,Communication Services
ON,ON Semiconductor,Information Technology
OKE,Oneok,Energy
ORCL,Oracle Corporation,Information Technology
OTIS,Otis Worldwide,Industrials
PCAR,Paccar,Industrials
PKG,Packaging Corporation of America,Materials
PLTR,Palantir Technologies,Information Technology
PANW,Palo Alto Networks,Information Technology
PSKY,Paramount Skydance Corporation,Communication Services
PH,Parker Hannifin,Industrials
PAYX,Paychex,Industrials
PYPL,PayPal,Financials
PNR,Pentair,Industrials
PEP,PepsiCo,Consumer Staples
PFE,Pfizer,Health Care
PCG,PG&E Corporation,Utilities
PM,Philip Morris International,Consumer Staples
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital,Utilities
PNC,PNC Financial Services,Financials
PPG,PPG Industries,Materials
PPL,PPL Corporation,Utilities
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive Corporation,Financials
PLD,Prologis,Real Estate
PRU,Prudential Financial,Financials
PEG,Public Service Enterprise Group,Utilities
PTC,PTC Inc.,Information Technology
PSA,Public Storage,Real Estate
PHM,PulteGroup,Consumer Discretionary
PWR,Quanta Services,Industrials
QCOM,Qualcomm,Information Technology
DGX,Quest Diagnostics,Health Care
Q,Qnity Electronics,Information Technology
RL,Ralph Lauren Corporation,Consumer Discretionary
RJF,Raymond James Financial,Financials
RTX,RTX Corporation,Industrials
O,Realty Income,Real Estate
REG,Regency Centers,Real Estate
REGN,Regeneron Pharmaceuticals,Health Care
RF,Regions Financial Corporation,Financials
RSG,Republic Services,Industrials
RMD,ResMed,Health Care
RVTY,Revvity,Health Care
HOOD,Robinhood Markets,Financials
ROK,Rockwell Automation,Industrials
ROL,"Rollins, Inc.",Industrials
ROP,Roper Technologies,Information Technology
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Group,Consumer Discretionary
SPGI,S&P Global,Financials
CRM,Salesforce,Information Technology
SNDK,Sandisk,Information Technology
SBAC,SBA Communications,Real Estate
SLB,Schlumberger,Energy
STX,Seagate Technology,Information Technology
SRE,Sempra,Utilities
NOW,ServiceNow,Information Technology
SHW,Sherwin-Williams,Materials
SPG,Simon Property Group,Real Estate
SWKS,Skyworks Solutions,Information Technology
SJM,J.M. Smucker Company (The),Consumer Staples
SW,Smurfit Westrock,Materials
SNA,Snap-on,Industrials
SOLV,Solventum,Health Care
SO,Southern Company,Utilities
LUV,Southwest Airlines,Industrials
SWK,Stanley Black & Decker,Industrials
SBUX,Starbucks,Consumer Discretionary
STT,State Street Corporation,Financials
STLD,Steel Dynamics,Materials
STE,Steris,Health Care
SYK,Stryker Corporation,Health Care
SMCI,Supermicro,Information Technology
SYF,Synchrony Financial,Financials
SNPS,Synopsys,Information Technology
SYY,Sysco,Consumer Staples
TMUS,T-Mobile US,Communication Services
TROW,T. Rowe Price,Financials
TTWO,Take-Two Interactive,Communication Services
TPR,"Tapestry, Inc.",Consumer Discretionary
TRGP,Targa Resources,Energy
TGT,Target Corporation,Consumer Staples
TEL,TE Connectivity,Information Technology
TDY,Teledyne Technologies,Information Technology
TER,Teradyne,Information Technology
TSLA,"Tesla, Inc.",Consumer Discretionary
TXN,Texas Instruments,Information Technology
TPL,Texas Pacific Land Corporation,Energy
TXT,Textron,Industrials
TMO,Thermo Fisher Scientific,Health Care
TJX,TJX Companies,Consumer Discretionary
TKO,TKO Group Holdings,Communication Services
TTD,Trade Desk (The),Communication Services
TSCO,Tractor Supply,Consumer Discretionary
TT,Trane Technologies,Industrials
TDG,TransDigm Group,Industrials
TRV,Travelers Companies (The),Financials
TRMB,Trimble Inc.,Information Technology
TFC,Truist Financial,Financials
TYL,Tyler Technologies,Information Technology
TSN,Tyson Foods,Consumer Staples
USB,U.S. Bancorp,Financials
UBER,Uber,Industrials
UDR,"UDR, Inc.",Real Estate
ULTA,Ulta Beauty,Consumer Discretionary
UNP,Union Pacific Corporation,Industrials
UAL,United Airlines Holdings,Industrials
UPS,United Parcel Service,Industrials
URI,United Rentals,Industrials
UNH,UnitedHealth Group,Health Care
UHS,Universal Health Services,Health Care
VLO,Valero Energy,Energy
VEEV,Veeva Systems,Health Care
VTR,Ventas,Real Estate
VLTO,Veralto,Industrials
VRSN,Verisign,Information Technology
VRSK,Verisk Analytics,Industrials
VZ,Verizon,Communication Services
VRTX,Vertex Pharmaceuticals,Health Care
VRT,Vertiv,Industrials
VTRS,Viatris,Health Care
VICI,Vici Properties,Real Estate
V,Visa Inc.,Financials
VST,Vistra Corp.,Utilities
VMC,Vulcan Materials Company,Materials
WRB,W. R. Berkley Corporation,Financials
GWW,W. W. Grainger,Industrials
WAB,Wabtec,Industrials
WMT,Walmart,Consumer Staples
DIS,Walt Disney Company (The),Communication Services
WBD,Warner Bros. Discovery,Communication Services
WM,Waste Management,Industrials
WAT,Waters Corporation,Health Care
WEC,WEC Energy Group,Utilities
WFC,Wells Fargo,Financials
WELL,Welltower,Real Estate
WST,West Pharmaceutical Services,Health Care
WDC,Western Digital,Information Technology
WY,Weyerhaeuser,Real Estate
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary
WMB,Williams Companies,Energy
WTW,Willis Towers Watson,Financials
WDAY,"Workday, Inc.",Information Technology
WYNN,Wynn Resorts,Consumer Discretionary
XEL,Xcel Energy,Utilities
XYL,Xylem Inc.,Industrials
YUM,Yum! Brands,Consumer Discretionary
ZBRA,Zebra Technologies,Information Technology
ZBH,Zimmer Biomet,Health Care
ZTS,Zoetis,Health Care
AA,Alcoa,Materials
AAL,American Airlines Group,Industrials
AAON,AAON,Industrials
ACI,Albertsons,Consumer Staples
ACM,AECOM,Industrials
ADC,Agree Realty,Real Estate
AEIS,Advanced Energy,Information Technology
AFG,American Financial Group,Financials
AGCO,AGCO,Industrials
AHR,American Healthcare REIT,Real Estate
AIT,Applied Industrial Technologies,Industrials
ALGM,Allegro MicroSystems,Information Technology
ALK,Alaska Air Group,Industrials
ALLY,Ally Financial,Financials
ALSN,Allison Transmission,Industrials
ALV,Autoliv,Consumer Discretionary
AM,Antero Midstream,Energy
AMG,Affiliated Managers Group,Financials
AMH,American Homes 4 Rent,Real Estate
AMKR,Amkor Technology,Information Technology
AN,AutoNation,Consumer Discretionary
ANF,Abercrombie & Fitch,Consumer Discretionary
APG,APi Group,Industrials
APPF,AppFolio,Information Technology
AR,Antero Resources,Energy
ARMK,Aramark,Consumer Discretionary
ARW,Arrow Electronics,Information Technology
ARWR,Arrowhead Pharmaceuticals,Health Care
ASB,Associated Bank,Financials
ASH,Ashland Global,Materials
ATI,ATI Inc.,Industrials
ATR,AptarGroup,Materials
AVAV,AeroVironment,Industrials
AVNT,Avient,Materials
AVT,Avnet,Information Technology
AVTR,Avantor,Health Care
AXTA,Axalta,Materials
AYI,Acuity Brands,Industrials
BAH,Booz Allen Hamilton,Industrials
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary
BC,Brunswick,Consumer Discretionary
BCO,Brink's,Industrials
BDC,Belden Inc.,Information Technology
BHF,Brighthouse Financial,Financials
BILL,Bill Holdings,Information Technology
BIO,Bio-Rad Laboratories,Health Care
BJ,BJ's Wholesale Club,Consumer Staples
BKH,Black Hills Corporation,Utilities
BMRN,BioMarin Pharmaceutical,Health Care
BRKR,Bruker,Health Care
BROS,Dutch Bros Inc.,Consumer Discretionary
BRX,Brixmor Property Group,Real Estate
BSY,Bentley Systems,Information Technology
BTSG,BrightSpring Health Services,Health Care
BURL,Burlington Stores,Consumer Discretionary
BWA,BorgWarner,Consumer Discretionary
BWXT,BWX Technologies,Industrials
BYD,Boyd Gaming,Consumer Discretionary
CACI,CACI International,Industrials
CAR,Avis Budget Group,Industrials
CART,Maplebear Inc.,Consumer Staples
CAVA,Cava Group,Consumer Discretionary
CBSH,Commerce Bancshares,Financials
CBT,Cabot Corp,Materials
CCK,Crown Holdings,Materials
CDE,Coeur Mining,Materials
CDP,COPT Defense Properties,Real Estate
CELH,Celsius Holdings,Consumer Staples
CFR,Frost Bank,Financials
CG,Carlyle Group (The),Financials
CGNX,Cognex,Information Technology
CHDN,Churchill Downs Inc.,Consumer Discretionary
CHE,Chemed Corp.,Health Care
CHH,Choice Hotels,Consumer Discretionary
CHRD,Chord Energy,Energy
CHWY,Chewy,Consumer Discretionary
CLF,Cleveland-Cliffs,Materials
CLH,Clean Harbors,Industrials
CMC,Commercial Metals,Materials
CNH,CNH Industrial,Industrials
CNM,Core & Main,Industrials
CNO,CNO Financial Group,Financials
CNX,CNX Resources,Energy
COKE,Coca-Cola Consolidated,Consumer Staples
COLB,Columbia Banking System,Financials
COLM,Columbia Sportswear,Consumer Discretionary
CPRI,Capri Holdings,Consumer Discretionary
CR,Crane,Industrials
CRBG,Corebridge Financial,Financials
CROX,Crocs,Consumer Discretionary
CRS,Carpenter Technology,Industrials
CRUS,Cirrus Logic,Information Technology
CSL,Carlisle Companies,Industrials
CTRE,CareTrust REIT,Real Estate
CUBE,CubeSmart,Real Estate
CUZ,Cousins Properties,Real Estate
CVLT,CommVault Systems,Information Technology
CW,Curtiss-Wright,Industrials
CXT,Crane NXT,Information Technology
CYTK,Cytokinetics,Health Care
DAR,Darling Ingredients,Consumer Staples
DBX,Dropbox,Information Technology
DCI,Donaldson Company,Industrials
DINO,HF Sinclair,Energy
DKS,Dick's Sporting Goods,Consumer Discretionary
DLB,Dolby,Information Technology
DOCN,DigitalOcean,Information Technology
DOCS,Doximity,Health Care
DOCU,Docusign,Information Technology
DT,Dynatrace,Information Technology
DTM,DT Midstream,Energy
DUOL,Duolingo,Consumer Discretionary
DY,Dycom Industries,Industrials
EEFT,Euronet Worldwide,Financials
EGP,EastGroup Properties,Real Estate
EHC,Encompass Health,Health Care
ELAN,Elanco,Health Care
ELF,e.l.f. Beauty,Consumer Staples
ELS,Equity Lifestyle Properties,Real Estate
ENS,EnerSys,Industrials
ENSG,Ensign Group,Health Care
ENTG,Entegris,Information Technology
EPR,EPR Properties,Real Estate
EQH,Equitable Holdings,Financials
ESAB,ESAB,Industrials
ESNT,Essent Group Ltd.,Financials
EVR,Evercore,Financials
EWBC,East West Bancorp,Financials
EXEL,Exelixis,Health Care
EXLS,EXL Service,Industrials
EXP,Eagle Materials,Materials
EXPO,"Exponent, Inc.",Industrials
FAF,First American Financial Corporation,Financials
FBIN,Fortune Brands Innovations,Industrials
FCFS,FirstCash,Financials
FCN,FTI Consulting,Industrials
FFIN,First Financial Bankshares,Financials
FHI,Federated Hermes,Financials
FHN,First Horizon,Financials
FIVE,Five Below,Consumer Discretionary
FLG,Flagstar Bank,Financials
FLR,Fluor,Industrials
FLS,Flowserve,Industrials
FN,Fabrinet,Information Technology
FNB,FNB Corporation,Financials
FND,Floor & Decor,Consumer Discretionary
FNF,Fidelity National Financial,Financials
FOUR,Shift4,Financials
FR,First Industrial Realty Trust,Real Estate
FTI,TechnipFMC,Energy
G,Genpact,Industrials
GAP,Gap Inc.,Consumer Discretionary
GATX,GATX,Industrials
GBCI,Glacier Bancorp,Financials
GEF,"Greif, Inc.",Materials
GGG,Graco Inc.,Industrials
GHC,Graham Holdings,Consumer Discretionary
GLPI,Gaming and Leisure Properties,Real Estate
GME,GameStop,Consumer Discretionary
GMED,Globus Medical,Health Care
GNTX,Gentex,Consumer Discretionary
GPK,Graphic Packaging,Materials
GWRE,Guidewire Software,Information Technology
GXO,GXO Logistics,Industrials
H,Hyatt,Consumer Discretionary
HAE,Haemonetics,Health Care
HALO,Halozyme,Health Care
HGV,Hilton Grand Vacations,Consumer Discretionary
HIMS,Hims & Hers Health,Health Care
HL,Hecla Mining,Materials
HLI,Houlihan Lokey,Financials
HLNE,Hamilton Lane,Financials
HOG,Harley-Davidson,Consumer Discretionary
HOMB,Home BancShares,Financials
HQY,HealthEquity,Health Care
HR,Healthcare Realty Trust,Real Estate
HRB,H&R Block,Consumer Discretionary
HWC,Hancock Whitney,Financials
HXL,Hexcel,Industrials
IBOC,Intl Bancshares Corp,Financials
IDA,Idacorp,Utilities
IDCC,InterDigital,Information Technology
IESC,IES Holdings,Industrials
ILMN,"Illumina, Inc.",Health Care
INGR,Ingredion,Consumer Staples
IPGP,IPG Photonics,Information Technology
IRT,Independence Realty Trust,Real Estate
ITT,ITT Inc.,Industrials
JAZZ,Jazz Pharmaceuticals,Health Care
JEF,Jefferies,Financials
JLL,Jones Lang LaSalle,Real Estate
KBH,KB Home,Consumer Discretionary
KBR,"KBR, Inc.",Industrials
KD,Kyndryl,Information Technology
KEX,Kirby Corporation,Industrials
KNF,Knife River Corporation,Materials
KNSL,Kinsale Capital Group,Financials
KNX,Knight-Swift,Industrials
KRC,Kilroy Realty Corp,Real Estate
KRG,Kite Realty Group Trust,Real Estate
KRYS,Krystal Biotech,Health Care
KTOS,Kratos Defense & Security Solutions,Industrials
LAD,Lithia Motors,Consumer Discretionary
LAMR,Lamar Advertising Company,Real Estate
LEA,Lear,Consumer Discretionary
LECO,Lincoln Electric,Industrials
LFUS,Littelfuse,Information Technology
LIVN,LivaNova,Health Care
LNTH,Lantheus Holdings,Health Care
LOPE,Grand Canyon Education,Consumer Discretionary
LPX,Louisiana-Pacific,Industrials
LSCC,Lattice Semiconductor,Information Technology
LSTR,Landstar System,Industrials
M,Macy's,Consumer Discretionary
MANH,Manhattan Associates,Information Technology
MAT,Mattel,Consumer Discretionary
MEDP,Medpace,Health Care
MIDD,Middleby,Industrials
MKSI,MKS Instruments,Information Technology
MLI,Mueller Industries,Industrials
MMS,Maximus Inc.,Industrials
MOG-A,Moog Inc.,Industrials
MOH,Molina Healthcare,Health Care
MORN,"Morningstar, Inc.",Financials
MP,MP Materials,Materials
MSA,MSA Safety,Industrials
MSM,MSC Industrial Direct,Industrials
MTDR,Matador Resources,Energy
MTG,MGIC Investment Corporation,Financials
MTN,Vail Resorts,Consumer Discretionary
MTSI,MACOM Technology Solutions,Information Technology
MTZ,MasTec,Industrials
MUR,Murphy Oil,Energy
MUSA,Murphy USA,Consumer Discretionary
MZTI,The Marzetti Company,Consumer Staples
NBIX,Neurocrine Biosciences,Health Care
NEU,NewMarket Corporation,Materials
NFG,National Fuel Gas,Utilities
NJR,New Jersey Resources,Utilities
NLY,Annaly Capital Management,Financials
NNN,NNN Reit,Real Estate
NOV,NOV Inc.,Energy
NOVT,Novanta,Information Technology
NTNX,Nutanix,Information Technology
NVST,Envista Holdings,Health Care
NVT,nVent Electric plc,Industrials
NWE,NorthWestern Energy,Utilities
NXST,Nexstar Media Group,Communication Services
NXT,Nextpower,Industrials
NYT,New York Times Company,Communication Services
OC,Owens Corning,Industrials
OGE,OGE Energy,Utilities
OGS,One Gas,Utilities
OHI,Omega Healthcare Investors,Real Estate
OKTA,"Okta, Inc.",Information Technology
OLED,Universal Display,Information Technology
OLLI,Ollie's Bargain Outlet,Consumer Discretionary
OLN,Olin Corporation,Materials
ONB,Old National Bank,Financials
ONTO,Onto Innovation,Information Technology
OPCH,Option Care Health,Health Care
ORA,Ormat Technologies,Utilities
ORI,Old Republic International,Financials
OSK,Oshkosh,Industrials
OVV,Ovintiv,Energy
OZK,Bank OZK,Financials
P,Everpure,Information Technology
PAG,Penske Automotive Group,Consumer Discretionary
PATH,UiPath,Information Technology
PB,Prosperity Bancshares,Financials
PBF,PBF Energy,Energy
PCTY,Paylocity,Industrials
PEGA,Pegasystems,Information Technology
PEN,"Penumbra, Inc.",Health Care
PFGC,Performance Food Group,Consumer Staples
PII,Polaris,Consumer Discretionary
PINS,Pinterest,Communication Services
PK,Park Hotels & Resorts,Real Estate
PLNT,Planet Fitness,Consumer Discretionary
